CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719514143621,1719514145021,1719514145347,0,redCircle,redCircle,True
1719514145859,1719514146708,1719514147092,0,redCircle,redCircle,True
1719514147595,1719514148729,1719514149154,0,greenCircle,greenCircle,True
1719514149655,1719514151197,1719514151564,0,redCircle,redCircle,True
1719514152065,1719514153495,1719514153880,0,redCircle,redCircle,True
1719514154391,1719514155312,1719514155646,0,redCircle,redCircle,True
1719514156158,1719514157083,1719514157545,0,greenCircle,greenCircle,True
1719514158062,1719514159423,1719514159859,0,greenCircle,greenCircle,True
1719514160361,1719514161212,1719514162046,0,greenCircle,greenCircle,True
1719514162553,1719514164224,1719514164776,0,redCircle,redCircle,True
1719514165276,1719514166567,1719514166996,0,greenCircle,greenCircle,True
1719514167503,1719514168296,1719514168692,0,redCircle,redCircle,True
1719514169207,1719514170793,1719514171110,0,greenCircle,redCircle,False
1719514171621,1719514172906,1719514173458,0,greenCircle,greenCircle,True
1719514173962,1719514175545,1719514175974,0,redCircle,redCircle,True
1719514176475,1719514177909,1719514178352,0,greenCircle,greenCircle,True
1719514178853,1719514179879,1719514180473,0,redCircle,redCircle,True
1719514180978,1719514182065,1719514182533,0,greenCircle,greenCircle,True
1719514183046,1719514184285,1719514184770,0,greenCircle,greenCircle,True
1719514185270,1719514186370,1719514186812,0,redCircle,redCircle,True
1719514187327,1719514188547,1719514188906,0,redCircle,redCircle,True
1719514189416,1719514190527,1719514190990,0,redCircle,redCircle,True
1719514191491,1719514192363,1719514192681,0,greenCircle,redCircle,False
1719514193193,1719514194295,1719514194611,0,redCircle,redCircle,True
1719514195113,1719514195866,1719514196237,0,redCircle,redCircle,True
1719514196740,1719514197946,1719514198361,0,greenCircle,greenCircle,True
1719514198864,1719514199862,1719514200283,0,redCircle,redCircle,True
1719514200800,1719514202390,1719514202685,0,redCircle,greenCircle,False
1719514203194,1719514203973,1719514204444,0,redCircle,redCircle,True
1719514204947,1719514206197,1719514206610,0,redCircle,redCircle,True
1719514207113,1719514208393,1719514208879,0,greenCircle,greenCircle,True
1719514209387,1719514210470,1719514210913,0,greenCircle,greenCircle,True
1719514211415,1719514212697,1719514213257,0,redCircle,redCircle,True
1719514213762,1719514214506,1719514215247,0,greenCircle,greenCircle,True
1719514215757,1719514216554,1719514217094,0,greenCircle,greenCircle,True
1719514217599,1719514218958,1719514219797,0,greenCircle,greenCircle,True
1719514220311,1719514221067,1719514221941,0,greenCircle,greenCircle,True
1719514222446,1719514224074,1719514224588,0,redCircle,redCircle,True
1719514225091,1719514226630,1719514227460,0,greenCircle,greenCircle,True
1719514227965,1719514229146,1719514229716,0,greenCircle,greenCircle,True
1719514230224,1719514231295,1719514231776,0,redCircle,redCircle,True
1719514232280,1719514233432,1719514233961,0,redCircle,redCircle,True
1719514234465,1719514235490,1719514236215,0,greenCircle,greenCircle,True
1719514236731,1719514237792,1719514238261,0,greenCircle,greenCircle,True
1719514238765,1719514239888,1719514240601,0,redCircle,redCircle,True
1719514241111,1719514242564,1719514242878,0,greenCircle,redCircle,False
1719514243392,1719514244148,1719514244930,0,greenCircle,greenCircle,True
1719514245440,1719514246743,1719514247730,0,greenCircle,greenCircle,True
1719514248248,1719514249318,1719514249761,0,greenCircle,greenCircle,True
1719514250271,1719514251260,1719514251832,0,redCircle,redCircle,True
1719514252346,1719514253586,1719514254085,0,redCircle,redCircle,True
1719514254590,1719514256149,1719514256560,0,redCircle,redCircle,True
1719514257062,1719514258332,1719514258817,0,greenCircle,greenCircle,True
1719514259324,1719514260184,1719514260618,0,redCircle,redCircle,True
1719514261129,1719514261875,1719514262560,0,greenCircle,greenCircle,True
1719514263068,1719514264779,1719514265248,0,redCircle,redCircle,True
1719514265750,1719514267248,1719514267780,0,greenCircle,greenCircle,True
1719514268284,1719514269132,1719514269645,0,greenCircle,greenCircle,True
1719514270158,1719514271015,1719514271533,0,greenCircle,greenCircle,True
1719514272041,1719514273315,1719514273841,0,redCircle,redCircle,True
1719514274344,1719514275483,1719514275945,0,redCircle,redCircle,True
1719514276445,1719514277317,1719514277761,0,redCircle,redCircle,True
1719514278267,1719514279096,1719514279598,0,greenCircle,greenCircle,True
1719514280101,1719514281715,1719514282201,0,greenCircle,greenCircle,True
1719514282706,1719514284005,1719514284619,0,redCircle,redCircle,True
1719514285135,1719514286092,1719514286906,0,redCircle,redCircle,True
1719514287413,1719514288527,1719514289151,0,greenCircle,greenCircle,True
1719514289658,1719514290968,1719514291495,0,redCircle,redCircle,True
1719514292006,1719514293312,1719514293844,0,redCircle,redCircle,True
1719514294347,1719514295293,1719514295894,0,greenCircle,greenCircle,True
1719514296398,1719514297915,1719514298577,0,greenCircle,greenCircle,True
1719514299088,1719514300763,1719514301361,0,greenCircle,greenCircle,True
1719514301863,1719514303133,1719514303562,0,redCircle,redCircle,True
1719514304066,1719514305110,1719514305584,0,greenCircle,greenCircle,True
1719514306097,1719514307063,1719514307636,0,greenCircle,greenCircle,True
1719514308149,1719514309542,1719514310028,0,greenCircle,greenCircle,True
1719514310531,1719514312097,1719514312628,0,greenCircle,greenCircle,True
1719514313134,1719514314191,1719514314604,0,redCircle,redCircle,True
1719514315116,1719514315859,1719514316312,0,greenCircle,greenCircle,True
1719514316822,1719514318161,1719514318606,0,greenCircle,greenCircle,True
1719514319110,1719514319910,1719514320443,0,redCircle,redCircle,True
1719514320952,1719514322311,1719514322715,0,greenCircle,greenCircle,True
1719514323219,1719514324550,1719514324976,0,redCircle,redCircle,True
1719514325478,1719514326943,1719514327457,0,redCircle,redCircle,True
1719514327966,1719514329570,1719514331007,0,greenCircle,greenCircle,True
