CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719514642045,1719514643485,1719514643888,0,redCircle,redCircle,True
1719514644405,1719514645148,1719514645601,0,greenCircle,greenCircle,True
1719514646104,1719514647205,1719514647840,0,greenCircle,greenCircle,True
1719514648353,1719514649220,1719514649689,0,redCircle,redCircle,True
1719514650195,1719514651203,1719514651522,0,greenCircle,greenCircle,True
1719514652026,1719514652966,1719514653476,0,redCircle,redCircle,True
1719514653986,1719514655285,1719514655629,0,greenCircle,greenCircle,True
1719514656135,1719514657155,1719514657474,0,redCircle,redCircle,True
1719514657977,1719514659609,1719514659983,0,redCircle,redCircle,True
1719514660488,1719514661220,1719514661690,0,redCircle,redCircle,True
1719514662193,1719514663133,1719514663640,0,redCircle,redCircle,True
1719514664152,1719514665668,1719514666002,0,greenCircle,greenCircle,True
1719514666508,1719514668055,1719514668372,0,redCircle,redCircle,True
1719514668877,1719514669970,1719514670623,0,redCircle,redCircle,True
1719514671131,1719514672302,1719514672733,0,greenCircle,greenCircle,True
1719514673241,1719514674061,1719514674600,0,greenCircle,greenCircle,True
1719514675107,1719514676437,1719514676976,0,greenCircle,greenCircle,True
1719514677485,1719514678311,1719514678801,0,redCircle,redCircle,True
1719514679305,1719514680969,1719514681439,0,redCircle,redCircle,True
1719514681946,1719514683388,1719514683873,0,redCircle,redCircle,True
1719514684375,1719514685335,1719514685737,0,redCircle,redCircle,True
1719514686238,1719514687527,1719514687821,0,greenCircle,greenCircle,True
1719514688328,1719514689128,1719514689658,0,redCircle,redCircle,True
1719514690167,1719514691875,1719514692208,0,greenCircle,greenCircle,True
1719514692721,1719514694006,1719514694312,0,greenCircle,redCircle,False
1719514694821,1719514695888,1719514696288,0,redCircle,redCircle,True
1719514696796,1719514697754,1719514698390,0,redCircle,redCircle,True
1719514698901,1719514700396,1719514700838,0,redCircle,redCircle,True
1719514701346,1719514703008,1719514703441,0,redCircle,redCircle,True
1719514703947,1719514705150,1719514705567,0,redCircle,redCircle,True
1719514706074,1719514706961,1719514707377,0,redCircle,redCircle,True
1719514707889,1719514709265,1719514709722,0,greenCircle,greenCircle,True
1719514710232,1719514711077,1719514711580,0,redCircle,redCircle,True
1719514712091,1719514713188,1719514713704,0,redCircle,redCircle,True
1719514714208,1719514715535,1719514715989,0,redCircle,redCircle,True
1719514716501,1719514718021,1719514718491,0,redCircle,redCircle,True
1719514719002,1719514719789,1719514720249,0,greenCircle,redCircle,False
1719514720760,1719514722214,1719514722713,0,greenCircle,greenCircle,True
1719514723226,1719514724272,1719514724774,0,redCircle,redCircle,True
1719514725277,1719514726689,1719514727601,0,greenCircle,greenCircle,True
1719514728106,1719514728868,1719514729407,0,greenCircle,greenCircle,True
1719514729915,1719514731544,1719514731936,0,greenCircle,greenCircle,True
1719514732439,1719514734092,1719514734512,0,redCircle,redCircle,True
1719514735022,1719514736605,1719514737067,0,redCircle,redCircle,True
1719514737572,1719514738632,1719514739189,0,greenCircle,greenCircle,True
1719514739692,1719514741400,1719514741873,0,greenCircle,greenCircle,True
1719514742380,1719514743790,1719514744565,0,greenCircle,greenCircle,True
1719514745073,1719514746445,1719514746944,0,greenCircle,greenCircle,True
1719514747456,1719514748663,1719514749326,0,redCircle,redCircle,True
1719514749836,1719514751001,1719514751538,0,greenCircle,greenCircle,True
1719514752043,1719514753245,1719514753820,0,greenCircle,greenCircle,True
1719514754325,1719514755327,1719514755703,0,redCircle,redCircle,True
1719514756212,1719514757352,1719514757920,0,redCircle,redCircle,True
1719514758424,1719514759285,1719514759811,0,greenCircle,greenCircle,True
1719514760319,1719514761723,1719514762253,0,greenCircle,greenCircle,True
1719514762759,1719514764090,1719514764437,0,redCircle,redCircle,True
1719514764941,1719514766125,1719514766625,0,greenCircle,redCircle,False
1719514767133,1719514768059,1719514768571,0,redCircle,redCircle,True
1719514769073,1719514770045,1719514770615,0,redCircle,redCircle,True
1719514771124,1719514772190,1719514772673,0,redCircle,redCircle,True
1719514773177,1719514774592,1719514775025,0,redCircle,redCircle,True
1719514775527,1719514776630,1719514777171,0,greenCircle,greenCircle,True
1719514777673,1719514779124,1719514779903,0,greenCircle,greenCircle,True
1719514780407,1719514781512,1719514782192,0,greenCircle,greenCircle,True
1719514782700,1719514784373,1719514784915,0,redCircle,redCircle,True
1719514785422,1719514787039,1719514787455,0,redCircle,redCircle,True
1719514787962,1719514789559,1719514789975,0,redCircle,redCircle,True
1719514790480,1719514792179,1719514792626,0,redCircle,redCircle,True
1719514793139,1719514794228,1719514794644,0,redCircle,redCircle,True
1719514795153,1719514796612,1719514797316,0,redCircle,redCircle,True
1719514797825,1719514798790,1719514799374,0,greenCircle,greenCircle,True
1719514799876,1719514801004,1719514801828,0,redCircle,redCircle,True
1719514802342,1719514803148,1719514803759,0,redCircle,redCircle,True
1719514804261,1719514805589,1719514806240,0,greenCircle,greenCircle,True
1719514806759,1719514807562,1719514808007,0,redCircle,redCircle,True
1719514808509,1719514810053,1719514810703,0,greenCircle,greenCircle,True
1719514811209,1719514812149,1719514813011,0,redCircle,redCircle,True
1719514813525,1719514815168,1719514815680,0,redCircle,redCircle,True
1719514816182,1719514817245,1719514817760,0,greenCircle,greenCircle,True
1719514818266,1719514819525,1719514820213,0,greenCircle,greenCircle,True
1719514820720,1719514821765,1719514822179,0,redCircle,redCircle,True
1719514822686,1719514823982,1719514824494,0,redCircle,redCircle,True
1719514825004,1719514825912,1719514826397,0,redCircle,redCircle,True
1719514826902,1719514828475,1719514828877,0,redCircle,redCircle,True
1719514829381,1719514830513,1719514831009,0,greenCircle,greenCircle,True
1719514831515,1719514832935,1719514833455,0,greenCircle,greenCircle,True
1719514833960,1719514834940,1719514835447,0,greenCircle,greenCircle,True
1719514835959,1719514836678,1719514837138,0,redCircle,redCircle,True
