CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719513520142,1719513521008,1719513521398,0,redCircle,redCircle,True
1719513521908,1719513523030,1719513523320,0,redCircle,redCircle,True
1719513523830,1719513524730,1719513525020,0,greenCircle,greenCircle,True
1719513525530,1719513526286,1719513526598,0,greenCircle,greenCircle,True
1719513527109,1719513528497,1719513528832,0,greenCircle,greenCircle,True
1719513529341,1719513530319,1719513530698,0,greenCircle,greenCircle,True
1719513531208,1719513531941,1719513532409,0,greenCircle,greenCircle,True
1719513532919,1719513534153,1719513534587,0,redCircle,redCircle,True
1719513535097,1719513535986,1719513536375,0,greenCircle,greenCircle,True
1719513536886,1719513537775,1719513538109,0,greenCircle,greenCircle,True
1719513538619,1719513540009,1719513540386,0,greenCircle,greenCircle,True
1719513540898,1719513541908,1719513542487,0,redCircle,redCircle,True
1719513542996,1719513544164,1719513544531,0,greenCircle,greenCircle,True
1719513545042,1719513546553,1719513546864,0,redCircle,redCircle,True
1719513547375,1719513548563,1719513549031,0,greenCircle,greenCircle,True
1719513549541,1719513551186,1719513551487,0,redCircle,redCircle,True
1719513551997,1719513553053,1719513553376,0,redCircle,redCircle,True
1719513553886,1719513554608,1719513554953,0,greenCircle,greenCircle,True
1719513555464,1719513557086,1719513557487,0,greenCircle,greenCircle,True
1719513557997,1719513559576,1719513559954,0,redCircle,redCircle,True
1719513560464,1719513561209,1719513561553,0,greenCircle,greenCircle,True
1719513562064,1719513562908,1719513563232,0,greenCircle,greenCircle,True
1719513563742,1719513564609,1719513564932,0,redCircle,redCircle,True
1719513565442,1719513566254,1719513566665,0,greenCircle,redCircle,False
1719513567175,1719513568508,1719513568999,0,greenCircle,greenCircle,True
1719513569508,1719513570809,1719513571232,0,greenCircle,greenCircle,True
1719513571742,1719513572663,1719513572987,0,redCircle,redCircle,True
1719513573497,1719513574631,1719513575053,0,redCircle,redCircle,True
1719513575564,1719513577220,1719513577632,0,greenCircle,greenCircle,True
1719513578142,1719513579387,1719513579798,0,greenCircle,greenCircle,True
1719513580308,1719513581464,1719513581876,0,greenCircle,greenCircle,True
1719513582386,1719513583775,1719513584165,0,greenCircle,greenCircle,True
1719513584675,1719513586332,1719513586632,0,greenCircle,greenCircle,True
1719513587142,1719513588187,1719513588543,0,greenCircle,greenCircle,True
1719513589053,1719513590265,1719513590632,0,greenCircle,greenCircle,True
1719513591141,1719513592142,1719513592521,0,greenCircle,greenCircle,True
1719513593031,1719513594053,1719513594410,0,greenCircle,greenCircle,True
1719513594919,1719513595631,1719513595999,0,greenCircle,greenCircle,True
1719513596508,1719513597709,1719513598054,0,greenCircle,greenCircle,True
1719513598564,1719513599564,1719513599921,0,redCircle,redCircle,True
1719513600431,1719513601365,1719513601743,0,greenCircle,greenCircle,True
1719513602253,1719513603287,1719513603598,0,redCircle,redCircle,True
1719513604108,1719513605475,1719513605776,0,redCircle,redCircle,True
1719513606287,1719513607031,1719513607421,0,redCircle,redCircle,True
1719513607931,1719513609153,1719513609565,0,greenCircle,greenCircle,True
1719513610075,1719513610986,1719513611387,0,redCircle,greenCircle,False
1719513611898,1719513613410,1719513614055,0,greenCircle,greenCircle,True
1719513614565,1719513615410,1719513616031,0,redCircle,redCircle,True
1719513616543,1719513618220,1719513618577,0,redCircle,redCircle,True
1719513619087,1719513620765,1719513621065,0,greenCircle,greenCircle,True
1719513621576,1719513622698,1719513623143,0,redCircle,redCircle,True
1719513623653,1719513625308,1719513625722,0,redCircle,redCircle,True
1719513626232,1719513627854,1719513628343,0,redCircle,redCircle,True
1719513628853,1719513630164,1719513630510,0,greenCircle,greenCircle,True
1719513631019,1719513631975,1719513632399,0,redCircle,redCircle,True
1719513632909,1719513634498,1719513635088,0,greenCircle,greenCircle,True
1719513635597,1719513636854,1719513637254,0,greenCircle,greenCircle,True
1719513637764,1719513639087,1719513639466,0,greenCircle,greenCircle,True
1719513639976,1719513641132,1719513641521,0,greenCircle,greenCircle,True
1719513642032,1719513643709,1719513644010,0,redCircle,redCircle,True
1719513644520,1719513645532,1719513645910,0,redCircle,redCircle,True
1719513646420,1719513647443,1719513647777,0,greenCircle,greenCircle,True
1719513648287,1719513649531,1719513649910,0,greenCircle,greenCircle,True
1719513650421,1719513651420,1719513651778,0,greenCircle,greenCircle,True
1719513652287,1719513653998,1719513654377,0,greenCircle,greenCircle,True
1719513654887,1719513656375,1719513656688,0,redCircle,redCircle,True
1719513657199,1719513658242,1719513658688,0,greenCircle,greenCircle,True
1719513659199,1719513660032,1719513660422,0,greenCircle,greenCircle,True
1719513660932,1719513662109,1719513662500,0,greenCircle,greenCircle,True
1719513663009,1719513664353,1719513664666,0,redCircle,redCircle,True
1719513665176,1719513666642,1719513666956,0,redCircle,redCircle,True
1719513667465,1719513668531,1719513668910,0,greenCircle,greenCircle,True
1719513669420,1719513670876,1719513671200,0,greenCircle,greenCircle,True
1719513671709,1719513673176,1719513673566,0,greenCircle,greenCircle,True
1719513674076,1719513674832,1719513675211,0,greenCircle,greenCircle,True
1719513675720,1719513677376,1719513677743,0,greenCircle,greenCircle,True
1719513678253,1719513679476,1719513679777,0,redCircle,redCircle,True
1719513680287,1719513681454,1719513681777,0,redCircle,redCircle,True
1719513682287,1719513683321,1719513683688,0,redCircle,redCircle,True
1719513684198,1719513685709,1719513686033,0,redCircle,redCircle,True
1719513686543,1719513688009,1719513688410,0,greenCircle,greenCircle,True
1719513688921,1719513690388,1719513690856,0,redCircle,redCircle,True
1719513691365,1719513693020,1719513693622,0,redCircle,redCircle,True
1719513694131,1719513694921,1719513695489,0,greenCircle,greenCircle,True
1719513695998,1719513696988,1719513697377,0,greenCircle,greenCircle,True
1719513697888,1719513699565,1719513700633,0,greenCircle,greenCircle,True
1719513701143,1719513702821,1719513703356,0,redCircle,redCircle,True
1719513703866,1719513705498,1719513705944,0,redCircle,redCircle,True
1719513706455,1719513707976,1719513708355,0,greenCircle,greenCircle,True
