CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719524411339,1719524412509,1719524412825,0,redCircle,redCircle,True
1719524413337,1719524414416,1719524414916,0,greenCircle,greenCircle,True
1719524415424,1719524416518,1719524417030,0,greenCircle,greenCircle,True
1719524417543,1719524418440,1719524418901,0,redCircle,redCircle,True
1719524419406,1719524420986,1719524421362,0,redCircle,redCircle,True
1719524421869,1719524423059,1719524423447,0,greenCircle,greenCircle,True
1719524423956,1719524425165,1719524425640,0,redCircle,redCircle,True
1719524426143,1719524427695,1719524428158,0,redCircle,redCircle,True
1719524428662,1719524429777,1719524430390,0,greenCircle,greenCircle,True
1719524430900,1719524432468,1719524432772,0,redCircle,redCircle,True
1719524433272,1719524434402,1719524435009,0,redCircle,redCircle,True
1719524435518,1719524436574,1719524436976,0,redCircle,redCircle,True
1719524437489,1719524439025,1719524439374,0,redCircle,redCircle,True
1719524439878,1719524441013,1719524441488,0,greenCircle,greenCircle,True
1719524442002,1719524443153,1719524443561,0,redCircle,redCircle,True
1719524444074,1719524445513,1719524445862,0,greenCircle,greenCircle,True
1719524446373,1719524447412,1719524447815,0,redCircle,redCircle,True
1719524448327,1719524449511,1719524450042,0,redCircle,redCircle,True
1719524450546,1719524451407,1719524451768,0,redCircle,redCircle,True
1719524452275,1719524453882,1719524454272,0,greenCircle,greenCircle,True
1719524454775,1719524455680,1719524456042,0,redCircle,redCircle,True
1719524456548,1719524457894,1719524458186,0,redCircle,redCircle,True
1719524458695,1719524459556,1719524460031,0,redCircle,redCircle,True
1719524460538,1719524461820,1719524462236,0,greenCircle,greenCircle,True
1719524462747,1719524463500,1719524464042,0,redCircle,redCircle,True
1719524464554,1719524466264,1719524466611,0,greenCircle,greenCircle,True
1719524467121,1719524467960,1719524468460,0,greenCircle,greenCircle,True
1719524468967,1719524470062,1719524470631,0,redCircle,redCircle,True
1719524471141,1719524472073,1719524472501,0,redCircle,greenCircle,False
1719524473009,1719524474491,1719524475039,0,redCircle,redCircle,True
1719524475540,1719524476836,1719524477710,0,greenCircle,greenCircle,True
1719524478219,1719524479801,1719524480242,0,redCircle,redCircle,True
1719524480754,1719524481490,1719524481893,0,greenCircle,greenCircle,True
1719524482396,1719524483897,1719524484384,0,greenCircle,greenCircle,True
1719524484894,1719524486127,1719524486778,0,redCircle,redCircle,True
1719524487285,1719524488033,1719524488641,0,greenCircle,redCircle,False
1719524489149,1719524490477,1719524490876,0,redCircle,redCircle,True
1719524491382,1719524493054,1719524493507,0,redCircle,redCircle,True
1719524494009,1719524495595,1719524496030,0,redCircle,redCircle,True
1719524496543,1719524497441,1719524497857,0,greenCircle,greenCircle,True
1719524498360,1719524500030,1719524500377,0,greenCircle,redCircle,False
1719524500884,1719524502227,1719524502796,0,redCircle,redCircle,True
1719524503305,1719524504984,1719524505479,0,greenCircle,greenCircle,True
1719524505994,1719524506738,1719524507152,0,greenCircle,greenCircle,True
1719524507661,1719524508424,1719524508781,0,greenCircle,greenCircle,True
1719524509292,1719524510827,1719524511243,0,redCircle,redCircle,True
1719524511753,1719524513071,1719524513457,0,greenCircle,greenCircle,True
1719524513960,1719524514718,1719524515298,0,greenCircle,greenCircle,True
1719524515805,1719524517265,1719524517775,0,redCircle,redCircle,True
1719524518280,1719524519931,1719524520351,0,redCircle,redCircle,True
1719524520853,1719524522294,1719524522734,0,redCircle,redCircle,True
1719524523243,1719524524683,1719524525030,0,redCircle,redCircle,True
1719524525537,1719524526346,1719524526723,0,redCircle,redCircle,True
1719524527228,1719524528728,1719524529184,0,greenCircle,greenCircle,True
1719524529693,1719524530590,1719524531030,0,redCircle,greenCircle,False
1719524531544,1719524532893,1719524533433,0,redCircle,redCircle,True
1719524533940,1719524534876,1719524535430,0,redCircle,redCircle,True
1719524535938,1719524536877,1719524537386,0,greenCircle,greenCircle,True
1719524537895,1719524538883,1719524539357,0,redCircle,redCircle,True
1719524539864,1719524540861,1719524541309,0,redCircle,redCircle,True
1719524541811,1719524543065,1719524543519,0,redCircle,redCircle,True
1719524544027,1719524545160,1719524545613,0,redCircle,redCircle,True
1719524546120,1719524547007,1719524547680,0,redCircle,redCircle,True
1719524548195,1719524549792,1719524550274,0,greenCircle,greenCircle,True
1719524550778,1719524552465,1719524552950,0,greenCircle,greenCircle,True
1719524553459,1719524554437,1719524554908,0,redCircle,redCircle,True
1719524555412,1719524557012,1719524557483,0,greenCircle,greenCircle,True
1719524557992,1719524559465,1719524559867,0,greenCircle,greenCircle,True
1719524560376,1719524561545,1719524562044,0,greenCircle,greenCircle,True
1719524562563,1719524563458,1719524563968,0,redCircle,redCircle,True
1719524564478,1719524566140,1719524566665,0,greenCircle,greenCircle,True
1719524567175,1719524568329,1719524568758,0,redCircle,redCircle,True
1719524569265,1719524570053,1719524570522,0,redCircle,redCircle,True
1719524571029,1719524571762,1719524572263,0,redCircle,redCircle,True
1719524572778,1719524574396,1719524574842,0,greenCircle,greenCircle,True
1719524575357,1719524576077,1719524576669,0,redCircle,redCircle,True
1719524577176,1719524577975,1719524578528,0,greenCircle,greenCircle,True
1719524579042,1719524580401,1719524580730,0,redCircle,redCircle,True
1719524581245,1719524582582,1719524582945,0,greenCircle,greenCircle,True
1719524583451,1719524584424,1719524584869,0,redCircle,redCircle,True
1719524585380,1719524586992,1719524587410,0,greenCircle,greenCircle,True
1719524587912,1719524589212,1719524589684,0,greenCircle,greenCircle,True
1719524590194,1719524591832,1719524592294,0,greenCircle,greenCircle,True
1719524592797,1719524593629,1719524594101,0,greenCircle,greenCircle,True
1719524594601,1719524595655,1719524596113,0,redCircle,redCircle,True
1719524596617,1719524597477,1719524597909,0,greenCircle,greenCircle,True
1719524598413,1719524599743,1719524600214,0,redCircle,redCircle,True
1719524600722,1719524601925,1719524602381,0,redCircle,redCircle,True
1719524602884,1719524604502,1719524604904,0,redCircle,redCircle,True
1719524605413,1719524606378,1719524606915,0,redCircle,redCircle,True
1719524607422,1719524608831,1719524609215,0,redCircle,redCircle,True
1719524609726,1719524610847,1719524611291,0,greenCircle,greenCircle,True
1719524611798,1719524613221,1719524613764,0,redCircle,redCircle,True
1719524614268,1719524615380,1719524615995,0,redCircle,redCircle,True
1719524616502,1719524617431,1719524617890,0,greenCircle,greenCircle,True
1719524618401,1719524620063,1719524620580,0,greenCircle,greenCircle,True
1719524621088,1719524621932,1719524622415,0,greenCircle,greenCircle,True
1719524622926,1719524624584,1719524624987,0,greenCircle,greenCircle,True
1719524625492,1719524626793,1719524627302,0,greenCircle,greenCircle,True
1719524627813,1719524628958,1719524629376,0,greenCircle,greenCircle,True
