CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719514125557,1719514126892,1719514127192,0,redCircle,redCircle,True
1719514127704,1719514128913,1719514129313,0,greenCircle,greenCircle,True
1719514129824,1719514130646,1719514131004,0,greenCircle,greenCircle,True
1719514131513,1719514132513,1719514132814,0,greenCircle,greenCircle,True
1719514133325,1719514134503,1719514134937,0,greenCircle,greenCircle,True
1719514135447,1719514136991,1719514137258,0,redCircle,redCircle,True
1719514137769,1719514139279,1719514139625,0,redCircle,redCircle,True
1719514140137,1719514141058,1719514141403,0,greenCircle,greenCircle,True
1719514141913,1719514143535,1719514143846,0,greenCircle,redCircle,False
1719514144356,1719514145603,1719514146037,0,greenCircle,greenCircle,True
1719514146545,1719514147735,1719514148102,0,greenCircle,greenCircle,True
1719514148603,1719514149837,1719514150114,0,greenCircle,greenCircle,True
1719514150625,1719514151413,1719514151725,0,greenCircle,greenCircle,True
1719514152237,1719514153237,1719514153604,0,greenCircle,greenCircle,True
1719514154114,1719514155014,1719514155391,0,redCircle,redCircle,True
1719514155903,1719514156869,1719514157204,0,greenCircle,greenCircle,True
1719514157714,1719514159224,1719514159538,0,redCircle,redCircle,True
1719514160046,1719514161337,1719514161859,0,greenCircle,greenCircle,True
1719514162369,1719514163580,1719514163938,0,redCircle,redCircle,True
1719514164447,1719514165237,1719514165604,0,redCircle,redCircle,True
1719514166113,1719514167236,1719514167658,0,greenCircle,greenCircle,True
1719514168171,1719514169004,1719514169482,0,redCircle,redCircle,True
1719514169992,1719514171525,1719514171827,0,greenCircle,greenCircle,True
1719514172337,1719514173238,1719514173659,0,greenCircle,greenCircle,True
1719514174170,1719514174992,1719514175404,0,greenCircle,greenCircle,True
1719514175914,1719514176847,1719514177206,0,redCircle,redCircle,True
1719514177713,1719514178681,1719514179038,0,greenCircle,greenCircle,True
1719514179547,1719514180538,1719514180837,0,greenCircle,greenCircle,True
1719514181347,1719514182213,1719514182648,0,greenCircle,greenCircle,True
1719514183159,1719514184480,1719514184881,0,greenCircle,greenCircle,True
1719514185392,1719514186603,1719514187026,0,redCircle,redCircle,True
1719514187536,1719514189214,1719514189525,0,redCircle,redCircle,True
1719514190037,1719514190914,1719514191225,0,greenCircle,greenCircle,True
1719514191737,1719514193436,1719514193838,0,redCircle,redCircle,True
1719514194348,1719514195814,1719514196204,0,redCircle,redCircle,True
1719514196714,1719514197472,1719514198093,0,greenCircle,greenCircle,True
1719514198603,1719514199414,1719514199861,0,redCircle,redCircle,True
1719514200370,1719514201547,1719514201893,0,redCircle,redCircle,True
1719514202404,1719514203170,1719514203581,0,greenCircle,greenCircle,True
1719514204091,1719514205270,1719514205583,0,greenCircle,greenCircle,True
1719514206092,1719514206847,1719514207259,0,greenCircle,greenCircle,True
1719514207770,1719514208891,1719514209259,0,greenCircle,greenCircle,True
1719514209770,1719514210614,1719514211072,0,greenCircle,greenCircle,True
