CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719524391695,1719524393316,1719524393785,0,greenCircle,greenCircle,True
1719524394294,1719524395371,1719524395984,0,greenCircle,greenCircle,True
1719524396493,1719524398105,1719524398639,0,greenCircle,greenCircle,True
1719524399150,1719524400638,1719524401028,0,greenCircle,greenCircle,True
1719524401538,1719524402305,1719524402739,0,greenCircle,greenCircle,True
1719524403251,1719524404371,1719524404672,0,greenCircle,greenCircle,True
1719524405182,1719524406071,1719524406495,0,redCircle,redCircle,True
1719524407006,1719524407805,1719524408239,0,redCircle,redCircle,True
1719524408748,1719524409494,1719524409838,0,redCircle,redCircle,True
1719524410349,1719524411628,1719524411995,0,greenCircle,greenCircle,True
1719524412506,1719524413938,1719524414262,0,greenCircle,greenCircle,True
1719524414771,1719524416406,1719524416817,0,greenCircle,greenCircle,True
1719524417329,1719524418117,1719524418462,0,greenCircle,greenCircle,True
1719524418971,1719524420383,1719524420705,0,greenCircle,greenCircle,True
1719524421216,1719524422416,1719524422929,0,redCircle,redCircle,True
1719524423438,1719524424460,1719524424951,0,redCircle,redCircle,True
1719524425461,1719524426749,1719524427262,0,greenCircle,greenCircle,True
1719524427772,1719524429006,1719524429472,0,redCircle,redCircle,True
1719524429984,1719524431271,1719524431585,0,greenCircle,redCircle,False
1719524432094,1719524433127,1719524433628,0,redCircle,redCircle,True
1719524434138,1719524435617,1719524436172,0,redCircle,redCircle,True
1719524436683,1719524437994,1719524438385,0,greenCircle,greenCircle,True
1719524438894,1719524440527,1719524440940,0,greenCircle,greenCircle,True
1719524441451,1719524442171,1719524442751,0,redCircle,redCircle,True
1719524443261,1719524444638,1719524445218,0,greenCircle,greenCircle,True
1719524445728,1719524446494,1719524447162,0,greenCircle,greenCircle,True
1719524447672,1719524448604,1719524449239,0,redCircle,redCircle,True
1719524449750,1719524450628,1719524451285,0,redCircle,redCircle,True
1719524451794,1719524453428,1719524453929,0,redCircle,redCircle,True
1719524454438,1719524455216,1719524455773,0,greenCircle,greenCircle,True
1719524456283,1719524457339,1719524457962,0,redCircle,redCircle,True
1719524458472,1719524459438,1719524460030,0,redCircle,redCircle,True
1719524460538,1719524461783,1719524462329,0,greenCircle,greenCircle,True
1719524462838,1719524463817,1719524464420,0,greenCircle,greenCircle,True
1719524464927,1719524466262,1719524466817,0,redCircle,redCircle,True
1719524467328,1719524468328,1719524469062,0,greenCircle,greenCircle,True
1719524469571,1719524470406,1719524470985,0,greenCircle,greenCircle,True
1719524471495,1719524472338,1719524472852,0,redCircle,redCircle,True
1719524473361,1719524474896,1719524475461,0,greenCircle,greenCircle,True
1719524475971,1719524477128,1719524477639,0,redCircle,redCircle,True
1719524478151,1719524479161,1719524479629,0,greenCircle,greenCircle,True
1719524480138,1719524481439,1719524482173,0,greenCircle,greenCircle,True
1719524482684,1719524483672,1719524484152,0,greenCircle,greenCircle,True
1719524484661,1719524485517,1719524485929,0,greenCircle,greenCircle,True
1719524486439,1719524487371,1719524487740,0,greenCircle,greenCircle,True
1719524488250,1719524489305,1719524489728,0,redCircle,redCircle,True
1719524490238,1719524491095,1719524491473,0,redCircle,redCircle,True
1719524491984,1719524493405,1719524493772,0,redCircle,redCircle,True
1719524494283,1719524495217,1719524495685,0,greenCircle,greenCircle,True
1719524496194,1719524497785,1719524498373,0,greenCircle,greenCircle,True
1719524498883,1719524499885,1719524500285,0,redCircle,redCircle,True
1719524500795,1719524501539,1719524502063,0,redCircle,redCircle,True
1719524502572,1719524503584,1719524504118,0,greenCircle,greenCircle,True
1719524504628,1719524505728,1719524506196,0,greenCircle,greenCircle,True
1719524506705,1719524507772,1719524508239,0,redCircle,redCircle,True
