CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719515150659,1719515152215,1719515152926,0,greenCircle,greenCircle,True
1719515153437,1719515154337,1719515154850,0,greenCircle,greenCircle,True
1719515155358,1719515156604,1719515156950,0,greenCircle,redCircle,False
1719515157459,1719515158671,1719515159016,0,redCircle,redCircle,True
1719515159526,1719515160837,1719515161240,0,greenCircle,greenCircle,True
1719515161749,1719515163170,1719515163616,0,redCircle,redCircle,True
1719515164126,1719515165349,1719515165860,0,greenCircle,greenCircle,True
1719515166371,1719515167770,1719515168306,0,redCircle,redCircle,True
1719515168814,1719515169859,1719515170460,0,greenCircle,greenCircle,True
1719515170970,1719515172170,1719515172672,0,greenCircle,greenCircle,True
1719515173181,1719515174449,1719515174951,0,greenCircle,greenCircle,True
1719515175459,1719515176504,1719515177272,0,redCircle,redCircle,True
1719515177772,1719515179349,1719515179783,0,redCircle,redCircle,True
1719515180292,1719515181916,1719515182360,0,redCircle,redCircle,True
1719515182870,1719515184005,1719515184571,0,greenCircle,greenCircle,True
1719515185082,1719515186182,1719515186960,0,redCircle,redCircle,True
1719515187472,1719515189115,1719515189727,0,redCircle,redCircle,True
1719515190237,1719515191271,1719515192006,0,greenCircle,greenCircle,True
1719515192514,1719515193526,1719515194205,0,redCircle,redCircle,True
1719515194716,1719515196293,1719515196850,0,greenCircle,greenCircle,True
1719515197359,1719515199038,1719515199716,0,greenCircle,greenCircle,True
1719515200226,1719515201505,1719515202260,0,greenCircle,greenCircle,True
1719515202772,1719515203905,1719515204383,0,greenCircle,greenCircle,True
1719515204892,1719515206350,1719515206905,0,greenCircle,greenCircle,True
1719515207416,1719515208671,1719515209105,0,greenCircle,greenCircle,True
1719515209616,1719515210905,1719515211261,0,redCircle,redCircle,True
1719515211771,1719515212959,1719515213427,0,greenCircle,greenCircle,True
1719515213937,1719515214927,1719515215439,0,greenCircle,greenCircle,True
1719515215949,1719515216904,1719515217406,0,redCircle,redCircle,True
1719515217915,1719515218693,1719515219460,0,greenCircle,greenCircle,True
1719515219971,1719515221449,1719515221927,0,redCircle,redCircle,True
1719515222438,1719515223526,1719515224326,0,greenCircle,greenCircle,True
1719515224837,1719515226326,1719515226884,0,greenCircle,greenCircle,True
1719515227393,1719515228705,1719515229217,0,redCircle,redCircle,True
1719515229727,1719515230893,1719515231606,0,redCircle,redCircle,True
1719515232116,1719515233750,1719515234250,0,greenCircle,greenCircle,True
1719515234759,1719515235716,1719515236317,0,redCircle,redCircle,True
1719515236826,1719515237705,1719515238441,0,greenCircle,greenCircle,True
1719515238949,1719515239671,1719515240327,0,greenCircle,greenCircle,True
1719515240837,1719515242416,1719515242873,0,greenCircle,greenCircle,True
1719515243383,1719515244205,1719515244872,0,greenCircle,greenCircle,True
1719515245383,1719515246559,1719515247051,0,redCircle,redCircle,True
1719515247560,1719515249115,1719515249673,0,greenCircle,greenCircle,True
1719515250182,1719515251283,1719515251873,0,greenCircle,greenCircle,True
1719515252383,1719515253250,1719515253828,0,redCircle,redCircle,True
1719515254338,1719515255816,1719515256584,0,greenCircle,greenCircle,True
1719515257094,1719515257872,1719515258506,0,redCircle,redCircle,True
1719515259015,1719515260393,1719515260960,0,redCircle,redCircle,True
1719515261471,1719515262683,1719515263117,0,redCircle,redCircle,True
1719515263627,1719515265283,1719515265784,0,greenCircle,greenCircle,True
1719515266293,1719515267184,1719515267706,0,redCircle,redCircle,True
1719515268217,1719515269594,1719515270105,0,greenCircle,redCircle,False
1719515270618,1719515272238,1719515272972,0,greenCircle,greenCircle,True
1719515273483,1719515274293,1719515275017,0,redCircle,redCircle,True
1719515275527,1719515276594,1719515277273,0,greenCircle,greenCircle,True
1719515277783,1719515279006,1719515279818,0,greenCircle,greenCircle,True
1719515280326,1719515282006,1719515282651,0,greenCircle,greenCircle,True
1719515283160,1719515284015,1719515284585,0,greenCircle,greenCircle,True
1719515285093,1719515286006,1719515286418,0,redCircle,redCircle,True
1719515286926,1719515288583,1719515289051,0,greenCircle,greenCircle,True
1719515289560,1719515290516,1719515291407,0,redCircle,redCircle,True
1719515291917,1719515293038,1719515293640,0,greenCircle,greenCircle,True
1719515294150,1719515295727,1719515296806,0,greenCircle,greenCircle,True
1719515297315,1719515298371,1719515299084,0,redCircle,redCircle,True
1719515299593,1719515300427,1719515301184,0,greenCircle,greenCircle,True
1719515301694,1719515303284,1719515304008,0,redCircle,redCircle,True
