CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719353322283,1719353323544,1719353323842,0,redCircle,redCircle,True
1719353324351,1719353325546,1719353325829,0,redCircle,redCircle,True
1719353326342,1719353327356,1719353327500,0,redCircle,redCircle,True
1719353328010,1719353329042,1719353329327,0,redCircle,redCircle,True
1719353329834,1719353331545,1719353331865,0,redCircle,redCircle,True
1719353332368,1719353333345,1719353333881,0,redCircle,redCircle,True
1719353334385,1719353335378,1719353335611,0,redCircle,redCircle,True
1719353336112,1719353337616,1719353337881,0,redCircle,redCircle,True
1719353338392,1719353340047,1719353340294,0,redCircle,redCircle,True
1719353340801,1719353342359,1719353342608,0,redCircle,redCircle,True
1719353343130,1719353344120,1719353344416,0,redCircle,redCircle,True
1719353344928,1719353346074,1719353346311,0,redCircle,redCircle,True
1719353346812,1719353347800,1719353348041,0,redCircle,redCircle,True
1719353348556,1719353349695,1719353349859,0,redCircle,redCircle,True
1719353350363,1719353351175,1719353351439,0,redCircle,redCircle,True
1719353351947,1719353353344,1719353353575,0,redCircle,redCircle,True
1719353354082,1719353354961,1719353355226,0,redCircle,redCircle,True
1719353355745,1719353357346,1719353358126,0,redCircle,redCircle,True
1719353358642,1719353360338,1719353360641,0,redCircle,redCircle,True
1719353361155,1719353362732,1719353362986,0,redCircle,redCircle,True
1719353363496,1719353365100,1719353365391,0,redCircle,redCircle,True
1719353365904,1719353367228,1719353367472,0,redCircle,redCircle,True
1719353367976,1719353368695,1719353369074,0,redCircle,redCircle,True
1719353369576,1719353370753,1719353370999,0,redCircle,redCircle,True
1719353371504,1719353373040,1719353373300,0,redCircle,redCircle,True
1719353373801,1719353374664,1719353374929,0,redCircle,redCircle,True
1719353375442,1719353376213,1719353376530,0,redCircle,redCircle,True
1719353377036,1719353378594,1719353378842,0,redCircle,redCircle,True
1719353379355,1719353380677,1719353380931,0,redCircle,redCircle,True
1719353381447,1719353382448,1719353382832,0,redCircle,redCircle,True
1719353383347,1719353384795,1719353385065,0,redCircle,redCircle,True
1719353385575,1719353387026,1719353387273,0,redCircle,redCircle,True
1719353387783,1719353389121,1719353389402,0,redCircle,redCircle,True
1719353389906,1719353391347,1719353391611,0,redCircle,redCircle,True
1719353392114,1719353393022,1719353393314,0,redCircle,redCircle,True
1719353393824,1719353395495,1719353395752,0,redCircle,redCircle,True
1719353396261,1719353397158,1719353397478,0,redCircle,redCircle,True
1719353397983,1719353398986,1719353399279,0,redCircle,redCircle,True
1719353399791,1719353400741,1719353400992,0,redCircle,redCircle,True
1719353401495,1719353402691,1719353402945,0,redCircle,redCircle,True
1719353403453,1719353404215,1719353404503,0,redCircle,redCircle,True
1719353405018,1719353406747,1719353407088,0,redCircle,redCircle,True
1719353407588,1719353408790,1719353409052,0,redCircle,redCircle,True
1719353409572,1719353410745,1719353411014,0,redCircle,redCircle,True
1719353411516,1719353413027,1719353413298,0,redCircle,redCircle,True
1719353413816,1719353414988,1719353415263,0,redCircle,redCircle,True
1719353415765,1719353416600,1719353416875,0,redCircle,redCircle,True
1719353417384,1719353418271,1719353418527,0,redCircle,redCircle,True
1719353419031,1719353420556,1719353420816,0,redCircle,redCircle,True
1719353421321,1719353422500,1719353422817,0,redCircle,redCircle,True
1719353423330,1719353424814,1719353425059,0,redCircle,redCircle,True
1719353425563,1719353427040,1719353427317,0,redCircle,redCircle,True
1719353427818,1719353429120,1719353429379,0,redCircle,redCircle,True
1719353429884,1719353430966,1719353431210,0,redCircle,redCircle,True
1719353431718,1719353432544,1719353432837,0,redCircle,redCircle,True
1719353433348,1719353434940,1719353435204,0,redCircle,redCircle,True
1719353435720,1719353437162,1719353437424,0,redCircle,redCircle,True
1719353437931,1719353439448,1719353439728,0,redCircle,redCircle,True
1719353440237,1719353441270,1719353441549,0,redCircle,redCircle,True
1719353442057,1719353443298,1719353443586,0,redCircle,redCircle,True
1719353444096,1719353445749,1719353446002,0,redCircle,redCircle,True
1719353446511,1719353448080,1719353448349,0,redCircle,redCircle,True
1719353448865,1719353450323,1719353450583,0,redCircle,redCircle,True
1719353451097,1719353452416,1719353452676,0,redCircle,redCircle,True
1719353453184,1719353454889,1719353455138,0,redCircle,redCircle,True
1719353455639,1719353456730,1719353457012,0,redCircle,redCircle,True
1719353457521,1719353458497,1719353458783,0,redCircle,redCircle,True
1719353459299,1719353460175,1719353460458,0,redCircle,redCircle,True
1719353460971,1719353461779,1719353462045,0,redCircle,redCircle,True
1719353462560,1719353463374,1719353463651,0,redCircle,redCircle,True
1719353464154,1719353465203,1719353465466,0,redCircle,redCircle,True
1719353465985,1719353467414,1719353467644,0,redCircle,redCircle,True
1719353468147,1719353469250,1719353469529,0,redCircle,redCircle,True
1719353470033,1719353471715,1719353471973,0,redCircle,redCircle,True
1719353472483,1719353474039,1719353474356,0,redCircle,redCircle,True
1719353474866,1719353476498,1719353476758,0,redCircle,redCircle,True
1719353477268,1719353478199,1719353478461,0,redCircle,redCircle,True
1719353478971,1719353479933,1719353480212,0,redCircle,redCircle,True
1719353480724,1719353481783,1719353482008,0,redCircle,redCircle,True
1719353482510,1719353484101,1719353484370,0,redCircle,redCircle,True
1719353484880,1719353486179,1719353486415,0,redCircle,redCircle,True
1719353486933,1719353488455,1719353488993,0,redCircle,redCircle,True
1719353489495,1719353490684,1719353491020,0,redCircle,redCircle,True
1719353491532,1719353492907,1719353493184,0,redCircle,redCircle,True
1719353493698,1719353494740,1719353495187,0,redCircle,redCircle,True
1719353495702,1719353496882,1719353497144,0,redCircle,redCircle,True
1719353497649,1719353499184,1719353499376,0,redCircle,redCircle,True
1719353499879,1719353500746,1719353501184,0,redCircle,redCircle,True
1719353501700,1719353502446,1719353502768,0,redCircle,redCircle,True
1719353503281,1719353504746,1719353505012,0,redCircle,redCircle,True
1719353505518,1719353506480,1719353506771,0,redCircle,redCircle,True
1719353507276,1719353508279,1719353508580,0,redCircle,redCircle,True
1719353509085,1719353510698,1719353510915,0,redCircle,redCircle,True
1719353511434,1719353512228,1719353512537,0,redCircle,redCircle,True
1719353513048,1719353514081,1719353514420,0,redCircle,redCircle,True
1719353514926,1719353515667,1719353515946,0,redCircle,redCircle,True
1719353516449,1719353517635,1719353517919,0,redCircle,redCircle,True
1719353518432,1719353519807,1719353520094,0,redCircle,redCircle,True
1719353520603,1719353521933,1719353522213,0,redCircle,redCircle,True
1719353522723,1719353523523,1719353523814,0,redCircle,redCircle,True
